Entity,Code,Year,Population density of the capital city,Population density of the capital city (projected) (Projected),Population density of the capital city (Annotations),Population density of the capital city (projected) (Annotations)
Argentina,ARG,1995,6114.166,,Buenos Aires,
Argentina,ARG,2000,6219.6675,,Buenos Aires,
Argentina,ARG,2005,6309.794,,Buenos Aires,
Argentina,ARG,2010,6464.6377,,Buenos Aires,
Argentina,ARG,2015,6409.243,,Buenos Aires,
Argentina,ARG,2020,6433.414,6433.414,Buenos Aires,Buenos Aires
Argentina,ARG,2025,,6477.697,,Buenos Aires
Argentina,ARG,2030,,6504.5923,,Buenos Aires
Argentina,ARG,2035,,6495.2124,,Buenos Aires
Argentina,ARG,2040,,6485.6226,,Buenos Aires
Argentina,ARG,2045,,6474.3276,,Buenos Aires
Argentina,ARG,2050,,6435.6455,,Buenos Aires
Argentina,ARG,2055,,6387.3745,,Buenos Aires
Argentina,ARG,2060,,6293.0054,,Buenos Aires
Argentina,ARG,2065,,6174.779,,Buenos Aires
Argentina,ARG,2070,,6039.3022,,Buenos Aires
Argentina,ARG,2075,,5904.4644,,Buenos Aires
Argentina,ARG,2080,,5747.242,,Buenos Aires
Argentina,ARG,2085,,5594.9023,,Buenos Aires
Argentina,ARG,2090,,5416.438,,Buenos Aires
Argentina,ARG,2095,,5255.862,,Buenos Aires
Argentina,ARG,2100,,5072.901,,Buenos Aires
Armenia,ARM,1975,6144.1416,,Yerevan,
Armenia,ARM,1980,6388.2954,,Yerevan,
Armenia,ARM,1985,6267.219,,Yerevan,
Armenia,ARM,1990,6598.851,,Yerevan,
Armenia,ARM,1995,6299.8696,,Yerevan,
Armenia,ARM,2000,6070.485,,Yerevan,
Armenia,ARM,2005,5889.0786,,Yerevan,
Armenia,ARM,2010,5706.296,,Yerevan,
Armenia,ARM,2015,5799.489,,Yerevan,
Armenia,ARM,2020,5472.5356,5472.5356,Yerevan,Yerevan
Armenia,ARM,2025,,5614.478,,Yerevan
Armenia,ARM,2030,,5447.3105,,Yerevan
Armenia,ARM,2035,,5371.851,,Yerevan
Armenia,ARM,2040,,5322.731,,Yerevan
Armenia,ARM,2045,,5252.6543,,Yerevan
Armenia,ARM,2050,,5187.2417,,Yerevan
Armenia,ARM,2055,,5115.917,,Yerevan
Armenia,ARM,2060,,5042.5786,,Yerevan
Armenia,ARM,2065,,5004.7505,,Yerevan
Armenia,ARM,2070,,4981.1895,,Yerevan
Armenia,ARM,2075,,5025.146,,Yerevan
Armenia,ARM,2080,,4930.543,,Yerevan
Armenia,ARM,2085,,4826.7104,,Yerevan
Armenia,ARM,2090,,4747.469,,Yerevan
Armenia,ARM,2095,,4804.2754,,Yerevan
Armenia,ARM,2100,,4724.128,,Yerevan
Australia,AUS,2030,,2001.9246,,North Canberra [Canberra]
Australia,AUS,2035,,1919.3201,,North Canberra [Canberra]
Australia,AUS,2040,,1932.523,,North Canberra [Canberra]
Australia,AUS,2045,,1908.2208,,North Canberra [Canberra]
Australia,AUS,2050,,1929.5459,,North Canberra [Canberra]
Australia,AUS,2055,,1959.09,,North Canberra [Canberra]
Australia,AUS,2060,,1988.1104,,North Canberra [Canberra]
Australia,AUS,2065,,2015.5115,,North Canberra [Canberra]
Australia,AUS,2070,,2039.5127,,North Canberra [Canberra]
Australia,AUS,2075,,2067.3987,,North Canberra [Canberra]
Australia,AUS,2080,,2023.5303,,North Canberra [Canberra]
Australia,AUS,2085,,2052.771,,North Canberra [Canberra]
Australia,AUS,2090,,2071.508,,North Canberra [Canberra]
Australia,AUS,2095,,2082.716,,North Canberra [Canberra]
Australia,AUS,2100,,2115.5605,,North Canberra [Canberra]
Austria,AUT,1975,6265.0713,,Vienna,
Austria,AUT,1980,6055.018,,Vienna,
Austria,AUT,1985,5946.344,,Vienna,
Austria,AUT,1990,5886.928,,Vienna,
Austria,AUT,1995,5634.683,,Vienna,
Austria,AUT,2000,5613.8286,,Vienna,
Austria,AUT,2005,5544.119,,Vienna,
Austria,AUT,2010,5772.349,,Vienna,
Austria,AUT,2015,5964.0034,,Vienna,
Austria,AUT,2020,6314.907,6314.907,Vienna,Vienna
Austria,AUT,2025,,6328.119,,Vienna
Austria,AUT,2030,,6247.0654,,Vienna
Austria,AUT,2035,,6242.996,,Vienna
Austria,AUT,2040,,6229.225,,Vienna
Austria,AUT,2045,,6204.269,,Vienna
Austria,AUT,2050,,6172.089,,Vienna
Austria,AUT,2055,,6140.54,,Vienna
Austria,AUT,2060,,6093.0557,,Vienna
Austria,AUT,2065,,6109.4453,,Vienna
Austria,AUT,2070,,6074.4893,,Vienna
Austria,AUT,2075,,6052.364,,Vienna
Austria,AUT,2080,,6018.928,,Vienna
Austria,AUT,2085,,5980.608,,Vienna
Austria,AUT,2090,,6024.8022,,Vienna
Austria,AUT,2095,,5995.844,,Vienna
Austria,AUT,2100,,6065.8174,,Vienna
Azerbaijan,AZE,1975,6148.6255,,Baku,
Azerbaijan,AZE,1980,6511.5796,,Baku,
Azerbaijan,AZE,1985,6254.5864,,Baku,
Azerbaijan,AZE,1990,6374.1777,,Baku,
Azerbaijan,AZE,1995,6368.4067,,Baku,
Azerbaijan,AZE,2000,6347.8506,,Baku,
Azerbaijan,AZE,2005,5697.1084,,Baku,
Azerbaijan,AZE,2010,5435.92,,Baku,
Azerbaijan,AZE,2015,5565.908,,Baku,
Azerbaijan,AZE,2020,5821.9,5821.9,Baku,Baku
Azerbaijan,AZE,2025,,5683.6133,,Baku
Azerbaijan,AZE,2030,,5756.7886,,Baku
Azerbaijan,AZE,2035,,5699.401,,Baku
Azerbaijan,AZE,2040,,5582.8013,,Baku
Azerbaijan,AZE,2045,,5606.8623,,Baku
Azerbaijan,AZE,2050,,5593.611,,Baku
Azerbaijan,AZE,2055,,5548.894,,Baku
Azerbaijan,AZE,2060,,5517.8335,,Baku
Azerbaijan,AZE,2065,,5492.2505,,Baku
Azerbaijan,AZE,2070,,5477.7827,,Baku
Azerbaijan,AZE,2075,,5431.159,,Baku
Azerbaijan,AZE,2080,,5376.3584,,Baku
Azerbaijan,AZE,2085,,5352.141,,Baku
Azerbaijan,AZE,2090,,5285.8623,,Baku
Azerbaijan,AZE,2095,,5243.3657,,Baku
Azerbaijan,AZE,2100,,5208.457,,Baku
Bahamas,BHS,1975,2181.2112,,Nassau,
Bahamas,BHS,1980,2266.8003,,Nassau,
Bahamas,BHS,1985,1878.2054,,Nassau,
Bahamas,BHS,1990,2071.8145,,Nassau,
Bahamas,BHS,1995,2050.9146,,Nassau,
Bahamas,BHS,2000,2121.955,,Nassau,
Bahamas,BHS,2005,2086.0618,,Nassau,
Bahamas,BHS,2010,2164.313,,Nassau,
Bahamas,BHS,2015,2273.904,,Nassau,
Bahamas,BHS,2020,2232.9482,2232.9482,Nassau,Nassau
Bahamas,BHS,2025,,2227.8394,,Nassau
Bahamas,BHS,2030,,2262.958,,Nassau
Bahamas,BHS,2035,,2290.6262,,Nassau
Bahamas,BHS,2040,,2310.9019,,Nassau
Bahamas,BHS,2045,,2326.7295,,Nassau
Bahamas,BHS,2050,,2332.0356,,Nassau
Bahamas,BHS,2055,,2333.396,,Nassau
Bahamas,BHS,2060,,2328.375,,Nassau
Bahamas,BHS,2065,,2322.636,,Nassau
Bahamas,BHS,2070,,2312.8572,,Nassau
Bahamas,BHS,2075,,2301.6829,,Nassau
Bahamas,BHS,2080,,2288.869,,Nassau
Bahamas,BHS,2085,,2276.3418,,Nassau
Bahamas,BHS,2090,,2261.128,,Nassau
Bahamas,BHS,2095,,2246.19,,Nassau
Bahamas,BHS,2100,,2233.75,,Nassau
Bahrain,BHR,1975,3751.295,,Manama,
Bahrain,BHR,1980,3213.1995,,Manama,
Bahrain,BHR,1985,3122.6272,,Manama,
Bahrain,BHR,1990,2819.402,,Manama,
Bahrain,BHR,1995,2346.8474,,Manama,
Bahrain,BHR,2000,2405.0974,,Manama,
Bahrain,BHR,2005,2906.5144,,Manama,
Bahrain,BHR,2010,3589.6018,,Manama,
Bahrain,BHR,2015,4169.4365,,Manama,
Bahrain,BHR,2020,4859.1763,4859.1763,Manama,Manama
Bahrain,BHR,2025,,4691.6836,,Manama
Bahrain,BHR,2030,,4966.376,,Manama
Bahrain,BHR,2035,,5033.119,,Manama
Bahrain,BHR,2040,,5268.2354,,Manama
Bahrain,BHR,2045,,5209.2285,,Manama
Bahrain,BHR,2050,,5139.9683,,Manama
Bahrain,BHR,2055,,5307.016,,Manama
Bahrain,BHR,2060,,5384.0425,,Manama
Bahrain,BHR,2065,,5372.528,,Manama
Bahrain,BHR,2070,,5450.415,,Manama
Bahrain,BHR,2075,,5642.13,,Manama
Bahrain,BHR,2080,,5842.4873,,Manama
Bahrain,BHR,2085,,5827.607,,Manama
Bahrain,BHR,2090,,6022.722,,Manama
Bahrain,BHR,2095,,6217.9272,,Manama
Bahrain,BHR,2100,,6317.617,,Manama
Bangladesh,BGD,1975,6919.1953,,Dhaka,
Bangladesh,BGD,1980,7366.424,,Dhaka,
Bangladesh,BGD,1985,7393.124,,Dhaka,
Bangladesh,BGD,1990,7252.3237,,Dhaka,
Bangladesh,BGD,1995,7489.467,,Dhaka,
Bangladesh,BGD,2000,6845.1494,,Dhaka,
Bangladesh,BGD,2005,6525.5557,,Dhaka,
Bangladesh,BGD,2010,6404.271,,Dhaka,
Bangladesh,BGD,2015,6114.223,,Dhaka,
Bangladesh,BGD,2020,5524.9585,5524.9585,Dhaka,Dhaka
Bangladesh,BGD,2025,,5370.7397,,Dhaka
Bangladesh,BGD,2030,,5302.646,,Dhaka
Bangladesh,BGD,2035,,5302.6724,,Dhaka
Bangladesh,BGD,2040,,5398.478,,Dhaka
Bangladesh,BGD,2045,,5539.112,,Dhaka
Bangladesh,BGD,2050,,5687.1626,,Dhaka
Bangladesh,BGD,2055,,5842.605,,Dhaka
Bangladesh,BGD,2060,,5978.2207,,Dhaka
Bangladesh,BGD,2065,,6073.0117,,Dhaka
Bangladesh,BGD,2070,,6130.4326,,Dhaka
Bangladesh,BGD,2075,,6159.4863,,Dhaka
Bangladesh,BGD,2080,,6177.1553,,Dhaka
Bangladesh,BGD,2085,,6173.813,,Dhaka
Bangladesh,BGD,2090,,6157.5146,,Dhaka
Bangladesh,BGD,2095,,6105.61,,Dhaka
Bangladesh,BGD,2100,,6041.879,,Dhaka
Barbados,BRB,1975,2796.7783,,Bridgetown,
Barbados,BRB,1980,2799.9146,,Bridgetown,
Barbados,BRB,1985,2611.046,,Bridgetown,
Barbados,BRB,1990,2575.3723,,Bridgetown,
Barbados,BRB,1995,2559.1885,,Bridgetown,
Barbados,BRB,2000,2541.9167,,Bridgetown,
Barbados,BRB,2005,2516.88,,Bridgetown,
Barbados,BRB,2010,2536.0447,,Bridgetown,
Barbados,BRB,2015,2526.16,,Bridgetown,
Barbados,BRB,2020,2375.2942,2375.2942,Bridgetown,Bridgetown
Barbados,BRB,2025,,2380.3616,,Bridgetown
Barbados,BRB,2030,,2376.514,,Bridgetown
Barbados,BRB,2035,,2362.5657,,Bridgetown
Barbados,BRB,2040,,2333.0393,,Bridgetown
Barbados,BRB,2045,,2294.1475,,Bridgetown
Barbados,BRB,2050,,2246.9062,,Bridgetown
Barbados,BRB,2055,,2199.3535,,Bridgetown
Barbados,BRB,2060,,2152.0784,,Bridgetown
Barbados,BRB,2065,,2103.796,,Bridgetown
Barbados,BRB,2070,,2055.2593,,Bridgetown
Barbados,BRB,2075,,2007.0807,,Bridgetown
Barbados,BRB,2080,,1956.2985,,Bridgetown
Barbados,BRB,2085,,1927.9004,,Bridgetown
Barbados,BRB,2090,,1875.8208,,Bridgetown
Barbados,BRB,2095,,1823.0631,,Bridgetown
Barbados,BRB,2100,,1816.1522,,Bridgetown
Belarus,BLR,1975,5818.011,,Minsk,
Belarus,BLR,1980,6306.2383,,Minsk,
Belarus,BLR,1985,6827.497,,Minsk,
Belarus,BLR,1990,7390.661,,Minsk,
Belarus,BLR,1995,7285.449,,Minsk,
Belarus,BLR,2000,7305.7354,,Minsk,
Belarus,BLR,2005,7480.6294,,Minsk,
Belarus,BLR,2010,7642.2554,,Minsk,
Belarus,BLR,2015,8032.261,,Minsk,
Belarus,BLR,2020,9104.602,9104.602,Minsk,Minsk
Belarus,BLR,2025,,8989.309,,Minsk
Belarus,BLR,2030,,8917.348,,Minsk
Belarus,BLR,2035,,8805.527,,Minsk
Belarus,BLR,2040,,8701.656,,Minsk
Belarus,BLR,2045,,8578.599,,Minsk
Belarus,BLR,2050,,8445.685,,Minsk
Belarus,BLR,2055,,8270.951,,Minsk
Belarus,BLR,2060,,8070.3804,,Minsk
Belarus,BLR,2065,,7830.059,,Minsk
Belarus,BLR,2070,,7605.1274,,Minsk
Belarus,BLR,2075,,7366.442,,Minsk
Belarus,BLR,2080,,7126.123,,Minsk
Belarus,BLR,2085,,6856.433,,Minsk
Belarus,BLR,2090,,6642.096,,Minsk
Belarus,BLR,2095,,6402.2964,,Minsk
Belarus,BLR,2100,,6211.9854,,Minsk
Belgium,BEL,1975,5529.642,,Brussels,
Belgium,BEL,1980,5688.627,,Brussels,
Belgium,BEL,1985,5817.336,,Brussels,
Belgium,BEL,1990,5892.045,,Brussels,
Belgium,BEL,1995,5562.653,,Brussels,
Belgium,BEL,2000,5784.184,,Brussels,
Belgium,BEL,2005,6061.1807,,Brussels,
Belgium,BEL,2010,6063.586,,Brussels,
Belgium,BEL,2015,6303.941,,Brussels,
Belgium,BEL,2020,6549.16,6549.16,Brussels,Brussels
Belgium,BEL,2025,,6572.4253,,Brussels
Belgium,BEL,2030,,6582.7036,,Brussels
Belgium,BEL,2035,,6594.998,,Brussels
Belgium,BEL,2040,,6601.2754,,Brussels
Belgium,BEL,2045,,6605.8574,,Brussels
Belgium,BEL,2050,,6588.871,,Brussels
Belgium,BEL,2055,,6558.0625,,Brussels
Belgium,BEL,2060,,6513.528,,Brussels
Belgium,BEL,2065,,6468.3086,,Brussels
Belgium,BEL,2070,,6435.057,,Brussels
Belgium,BEL,2075,,6406.8887,,Brussels
Belgium,BEL,2080,,6380.1357,,Brussels
Belgium,BEL,2085,,6352.578,,Brussels
Belgium,BEL,2090,,6321.655,,Brussels
Belgium,BEL,2095,,6290.838,,Brussels
Belgium,BEL,2100,,6255.71,,Brussels
Benin,BEN,1975,4231.6914,,Porto-Novo,
Benin,BEN,1980,4362.063,,Porto-Novo,
Benin,BEN,1985,4349.24,,Porto-Novo,
Benin,BEN,1990,4223.8125,,Porto-Novo,
Benin,BEN,1995,4508.6646,,Porto-Novo,
Benin,BEN,2000,4880.483,,Porto-Novo,
Benin,BEN,2005,4417.774,,Porto-Novo,
Benin,BEN,2010,4500.805,,Porto-Novo,
Benin,BEN,2015,4843.5894,,Porto-Novo,
Benin,BEN,2020,5227.9834,5227.9834,Porto-Novo,Porto-Novo
Benin,BEN,2025,,5568.822,,Porto-Novo
Benin,BEN,2030,,5657.3345,,Porto-Novo
Benin,BEN,2035,,5484.4683,,Porto-Novo
Benin,BEN,2040,,5718.0938,,Porto-Novo
Benin,BEN,2045,,5930.3203,,Porto-Novo
Benin,BEN,2050,,5832.4795,,Porto-Novo
Benin,BEN,2055,,5578.1655,,Porto-Novo
Benin,BEN,2060,,5604.8423,,Porto-Novo
Benin,BEN,2065,,5088.797,,Porto-Novo
Benin,BEN,2070,,5128.0586,,Porto-Novo
Benin,BEN,2075,,5216.912,,Porto-Novo
Benin,BEN,2080,,5095.893,,Porto-Novo
Benin,BEN,2085,,5057.5913,,Porto-Novo
Benin,BEN,2090,,4960.0195,,Porto-Novo
Benin,BEN,2095,,5022.261,,Porto-Novo
Benin,BEN,2100,,4989.4526,,Porto-Novo
Bhutan,BTN,2000,5027.4546,,,
Bhutan,BTN,2005,6014.4043,,,
Bhutan,BTN,2010,6574.2793,,,
Bhutan,BTN,2015,6642.632,,,
Bhutan,BTN,2020,5734.8184,5734.8184,,
Bhutan,BTN,2025,,5036.7524,,
Bhutan,BTN,2030,,5348.1514,,
Bhutan,BTN,2035,,5606.7065,,
Bhutan,BTN,2040,,5841.4536,,
Bhutan,BTN,2045,,5993.9355,,
Bhutan,BTN,2050,,6092.531,,
Bhutan,BTN,2055,,6132.34,,
Bhutan,BTN,2060,,6129.141,,
Bhutan,BTN,2065,,6130.9907,,
Bhutan,BTN,2070,,6085.527,,
Bhutan,BTN,2075,,6040.3516,,
Bhutan,BTN,2080,,5978.5,,
Bhutan,BTN,2085,,5917.3296,,
Bhutan,BTN,2090,,5849.193,,
Bhutan,BTN,2095,,5775.969,,
Bhutan,BTN,2100,,5730.718,,
Bolivia,BOL,1975,4737.264,,La Paz,
Bolivia,BOL,1980,5039.1626,,La Paz,
Bolivia,BOL,1985,5210.8066,,La Paz,
Bolivia,BOL,1990,5511.2236,,La Paz,
Bolivia,BOL,1995,5719.5684,,La Paz,
Bolivia,BOL,2000,6203.6963,,La Paz,
Bolivia,BOL,2005,6079.683,,La Paz,
Bolivia,BOL,2010,6146.5684,,La Paz,
Bolivia,BOL,2015,6272.15,,La Paz,
Bolivia,BOL,2020,6695.665,6695.665,La Paz,La Paz
Bolivia,BOL,2025,,6885.7583,,La Paz
Bolivia,BOL,2030,,7161.455,,La Paz
Bolivia,BOL,2035,,7251.8105,,La Paz
Bolivia,BOL,2040,,7316.9307,,La Paz
Bolivia,BOL,2045,,7189.921,,La Paz
Bolivia,BOL,2050,,7246.016,,La Paz
Bolivia,BOL,2055,,7132.403,,La Paz
Bolivia,BOL,2060,,7093.499,,La Paz
Bolivia,BOL,2065,,7021.4253,,La Paz
Bolivia,BOL,2070,,6999.6562,,La Paz
Bolivia,BOL,2075,,6923.952,,La Paz
Bolivia,BOL,2080,,6879.7046,,La Paz
Bolivia,BOL,2085,,6856.3564,,La Paz
Bolivia,BOL,2090,,6799.2456,,La Paz
Bolivia,BOL,2095,,6764.4644,,La Paz
Bolivia,BOL,2100,,6714.039,,La Paz
Bosnia and Herzegovina,BIH,1975,5563.9595,,Sarajevo,
Bosnia and Herzegovina,BIH,1980,5980.6836,,Sarajevo,
Bosnia and Herzegovina,BIH,1985,6029.238,,Sarajevo,
Bosnia and Herzegovina,BIH,1990,5554.51,,Sarajevo,
Bosnia and Herzegovina,BIH,1995,5506.1772,,Sarajevo,
Bosnia and Herzegovina,BIH,2000,4539.495,,Sarajevo,
Bosnia and Herzegovina,BIH,2005,4310.64,,Sarajevo,
Bosnia and Herzegovina,BIH,2010,3843.7473,,Sarajevo,
Bosnia and Herzegovina,BIH,2015,3765.8713,,Sarajevo,
Bosnia and Herzegovina,BIH,2020,3598.9973,3598.9973,Sarajevo,Sarajevo
Bosnia and Herzegovina,BIH,2025,,3525.7974,,Sarajevo
Bosnia and Herzegovina,BIH,2030,,3489.7996,,Sarajevo
Bosnia and Herzegovina,BIH,2035,,4027.3328,,Sarajevo
Bosnia and Herzegovina,BIH,2040,,3973.4739,,Sarajevo
Bosnia and Herzegovina,BIH,2045,,3909.871,,Sarajevo
Bosnia and Herzegovina,BIH,2050,,3846.7563,,Sarajevo
Bosnia and Herzegovina,BIH,2055,,4088.1775,,Sarajevo
Bosnia and Herzegovina,BIH,2060,,3965.6094,,Sarajevo
Bosnia and Herzegovina,BIH,2065,,3926.378,,Sarajevo
Bosnia and Herzegovina,BIH,2070,,4063.3357,,Sarajevo
Bosnia and Herzegovina,BIH,2075,,3969.376,,Sarajevo
Bosnia and Herzegovina,BIH,2080,,3895.9653,,Sarajevo
Bosnia and Herzegovina,BIH,2085,,3804.6978,,Sarajevo
Bosnia and Herzegovina,BIH,2090,,3739.199,,Sarajevo
Bosnia and Herzegovina,BIH,2095,,3771.2356,,Sarajevo
Bosnia and Herzegovina,BIH,2100,,3796.2246,,Sarajevo
Botswana,BWA,2010,3194.678,,Gaborone,
Botswana,BWA,2015,2196.4478,,Gaborone,
Botswana,BWA,2020,2355.1448,2355.1448,Gaborone,Gaborone
Botswana,BWA,2025,,2401.1084,,Gaborone
Botswana,BWA,2030,,2525.6533,,Gaborone
Botswana,BWA,2035,,2656.6575,,Gaborone
Botswana,BWA,2040,,2760.6375,,Gaborone
Botswana,BWA,2045,,2811.7861,,Gaborone
Botswana,BWA,2050,,2774.7705,,Gaborone
Botswana,BWA,2055,,2621.8777,,Gaborone
Botswana,BWA,2060,,2628.9504,,Gaborone
Botswana,BWA,2065,,2668.1729,,Gaborone
Botswana,BWA,2070,,2659.5,,Gaborone
Botswana,BWA,2075,,2673.5935,,Gaborone
Botswana,BWA,2080,,2687.2869,,Gaborone
Botswana,BWA,2085,,2696.014,,Gaborone
Botswana,BWA,2090,,2699.4736,,Gaborone
Botswana,BWA,2095,,2695.002,,Gaborone
Botswana,BWA,2100,,2686.115,,Gaborone
Brazil,BRA,1975,2589.7324,,Brasilia,
Brazil,BRA,1980,3147.2292,,Brasilia,
Brazil,BRA,1985,3456.382,,Brasilia,
Brazil,BRA,1990,3777.4539,,Brasilia,
Brazil,BRA,1995,3927.9758,,Brasilia,
Brazil,BRA,2000,4886.121,,Brasilia,
Brazil,BRA,2005,5286.295,,Brasilia,
Brazil,BRA,2010,5829.0796,,Brasilia,
Brazil,BRA,2015,6345.856,,Brasilia,
Brazil,BRA,2020,6943.4233,6943.4233,Brasilia,Brasilia
Brazil,BRA,2025,,6500.6333,,Brasilia
Brazil,BRA,2030,,6757.4614,,Brasilia
Brazil,BRA,2035,,6700.3047,,Brasilia
Brazil,BRA,2040,,6760.2915,,Brasilia
Brazil,BRA,2045,,6728.397,,Brasilia
Brazil,BRA,2050,,6822.9517,,Brasilia
Brazil,BRA,2055,,6833.327,,Brasilia
Brazil,BRA,2060,,6836.1353,,Brasilia
Brazil,BRA,2065,,6828.503,,Brasilia
Brazil,BRA,2070,,6795.885,,Brasilia
Brazil,BRA,2075,,6728.7026,,Brasilia
Brazil,BRA,2080,,6587.209,,Brasilia
Brazil,BRA,2085,,6418.5674,,Brasilia
Brazil,BRA,2090,,6312.0483,,Brasilia
Brazil,BRA,2095,,6183.4536,,Brasilia
Brazil,BRA,2100,,6061.3696,,Brasilia
Brunei,BRN,2015,2198.1,,Bandar Seri Begawan,
Brunei,BRN,2020,2130.3882,2130.3882,Bandar Seri Begawan,Bandar Seri Begawan
Brunei,BRN,2025,,2185.8489,,Bandar Seri Begawan
Brunei,BRN,2030,,2247.5938,,Bandar Seri Begawan
Brunei,BRN,2035,,2297.4075,,Bandar Seri Begawan
Brunei,BRN,2040,,2269.714,,Bandar Seri Begawan
Brunei,BRN,2045,,2268.2322,,Bandar Seri Begawan
